,종목명,현재가,전일대비,등락률
0,삼성전자,"71,100","상승 1,000",+1.43%
1,SK하이닉스,"287,250","상승 10,250",+3.70%
2,LG에너지솔루션,"347,250","상승 3,750",+1.09%
3,삼성바이오로직스,"1,035,000","상승 4,000",+0.39%
4,한화에어로스페이스,"946,000","하락 5,000",-0.53%
5,삼성전자우,"58,100",상승 600,+1.04%
6,현대차,"220,500","상승 2,000",+0.92%
7,HD현대중공업,"502,000","하락 9,000",-1.76%
8,KB금융,"109,400","상승 2,700",+2.53%
9,기아,"105,800",상승 900,+0.86%
10,두산에너빌리티,"62,100","상승 1,200",+1.97%
11,셀트리온,"169,800",하락 200,-0.12%
12,NAVER,"232,250","상승 4,250",+1.86%
13,한화오션,"109,900","하락 1,000",-0.90%
14,신한지주,"65,400","상승 1,000",+1.55%
